text,label
thank you so much bhai,0
bhen ke lode,1
bh3n k3 l0d3,1
madarchod saale,1
madrch0d harami,1
bhenchod tu mar ja,1
bc tera baap hu,1
bhen ke takke,1
chutiya mat ban,1
chut ye aadmi,1
randi ka baccha,1
r rona band kar,1
teri maa ki chut,1
t3ri m ki ch t,1
gandu insaan,1
g kahi ka,1
lawde lag gaye tere,1
l0d3 pe thappad,1
behen ke lund,1
bh3n k3 lund,1
sala kutta,1
s suar ka baccha,1
harami aadmi,1
h zad,1
chut marike,1
ch t m,1
bhosdike,1
bhosdi ke,1
bh0sd k3,1
teri behen ki chut,1
t3ri b3hn ki ch t,1
maa chuda,1
m chud,1
randwe ke aulad,1
r k3,1
chodu bhag,1
ch0du nahi toh kya,1
lund le le,1
l nd choos,1
gaand mara,1
g fata,1
kutte ki maut marega,1
kutt3 ki dum,1
saale suar,1
s haramkhor,1
bakchodi mat kar,0
abe yaar chill kar,0
kya bol raha hai tu,0
bhai please samjha kar,0
good morning bro,0
love you yaar,0
teri jai ho,0
bhai mast kaam kiya,0
wah kya baat hai,0
shabash mere sher,0
teri maa ka bharosa,1
t3ri m k bh,1
chutiya banaya mujhe,1
ch t y b,1
bhen ke laude pe dance,1
bh3n k3 l p3,1
madarchod company,1
m c0mp,1
lund khajoor,1
l nd topi,1
gaand mein danda,1
g m3in b,1
bhosda tight hai kya,1
bh0sd t ght,1
randi baaz,1
r khana,1
kutte ki tarah bhonk,1
kutt3 ki p00ch,1
saale napunsak,1
s jh,1
jhantu insaan,1
jhaant ke baal,1
jh k3 pissoo,1
chut ka pujari,1
ch t k puj,1
bhadwa ban gaya,1
bh dalaal,1
teri gaand jalti hai,1
t3ri g j,1
maa ki kirkiri,1
m ki aankh,1
behen ki laudi,1
bh3n ki l,1
lund pakad ke baith,1
l nd chaba ja,1
chutiye ka dimag,1
ch t y3 k d m,1
madarchod politics,1
madrch0d neta,1
bhai tera swag,0
mast hai re tu,0
yaar tu king hai,0
bhai ek selfie le le,0
good night bro,0
happy birthday bhai,0
teri jai ho veere,0
changa lagda tu,0
bhai tu top hai,0
love from india,0
teri behen chod di,1
t3ri b3hn ch0d di,1
madarchod system,1
m g0vt,1
chut ka diwana,1
ch t k bhagat,1
bhosdike aaja,1
bh0sd k3 p3l3ng3,1
randi rona start,1
r n,1
gandu log,1
g party,1
lawde pe tattoo,1
l0d3 l,1
behen ke lund ka juice,1
bh3n k3 l nd juice,1
sala hijda,1
s chhakka,1
harami zaade,1
h ki,1
chut mein mirchi,1
ch t m3in danda,1
bhadwe ki aulaad,1
bh k3 p1ll3,1
teri maa randi hai,1
t3ri m r,1
chodu company,1
ch0du bhagat,1
lund choos le,1
l nd lele thokke,1
gaand phat gayi,1
g ph gayi,1
kutte ki jhaante,1
kutt3 k3 b,1
saale bhadwe,1
s th3kedar,1
jhantu ka chashma,1
jhaant ka jhanda,1
chut ka chakkar,1
ch t k ch0re,1
bhosdi wale baba,1
bh0sd w,1
randwa aadmi,1
r s,1
teri gaand mein keede,1
t3ri g m3in k33d3,1
maa chodne wala,1
m ch0dn3 w,1
behen ka yaar,1
bh3n k l0ver,1
lund topi drama,1
l nd k3 p,1
chutiya kahinka,1
ch t y k k,1
madarchod traffic,1
madrch0d police,1
bhai tu legend hai,0
good job mere yaar,0
shabash sher,0
tu toh badshah hai,0
mast plan hai bhai,0
love you bro,0
tera swag alag hai,0
party de bhai aaj,0
bhai tu best hai,0
respect button dabaya,0
madarchod weather,1
m garmi,1
chutiya traffic jam,1
ch t y l0g,1
bhen ke lode drivers,1
bh3n k3 l0d3 r,1
randi ki tarah gaadi chala,1
r r0n band kar,1
gandu auto wala,1
g riksh,1
saale haramkhor,1
s bh0sd k3,1
teri maa ka bhosda,1
t3ri m k bh0sd,1
chut mein aag laga di,1
ch t m3in th00k,1
lund pe latak ja,1
l nd ch00s le s,1
gaand marwa le,1
g ph gayi teri,1
bhadwe ki nasal,1
kutte ki tarah bhag,1
kutt3 k j3s3 r0,1
hijde ki aulaad,1
chh k1,1
jhantu ka jhanda,1
jhaant ke baal uga,1
chut ka churan bechta hai,1
ch t k m,1
madarchod boss,1
m m,1
teri behen randi hai,1
t3ri b3hn r h,1
bhosdike tu kya ukhaad lega,1
bh0sd k3 t3r,1
lawde ke baal,1
l0d3 k3 b,1
chodu kahin ka,1
ch0du n,1
teri gaand faad dunga,1
t3ri g ph d00ng,1
maa chudane aa ja,1
m chudw l3 b3t,1
behenchod society,1
bh3nch0d n3ighb0ur,1
randwe ke jaisa dikhta hai,1
r s d kht,1
gandu friends,1
g gr0up,1
chutiye log yaha,1
ch t y3 p3opl3,1
bhen ke takke pe thumka,1
bh3n k3 t p3,1
madarchod rules,1
madrch0d l,1
teri maa ko pel dunga,1
t3ri m k0 p3l3ng3,1
bhosdi ka tattoo,1
bh0sd k n,1
saala napunsak,1
s p0w3rl3ss,1
harami ka baccha,1
h k,1
chut ka pujari ban gaya,1
ch t k bh,1
lund lele thok ke,1
l nd p l3,1
gaand mein bamboo,1
g m3 n d,1
kuttiya ki tarah chillati hai,1
k tt y r0n,1
bhadwa dalal,1
bh br0k3r,1
teri gaand jal rahi hai,1
t3ri g j r,1
maa ka bhadwa,1
m k s0g,1
behen ki chutiya,1
bh3n ch t y,1
chut mara re,1
ch t ph d,1
randi khana chalega kya,1
r b,1
gand phat gayi teri,1
g ph gay,1
saale kamine,1
s k n3,1
jhant ke pissu,1
jh k3 p ss,1
chutiye ka saga,1
ch t y3 k n,1
madarchod teacher,1
m pr0f,1
teri behen ko chod do,1
t3ri b3hn k0 p3l,1
bhosdike pel denge,1
bh0sd k3 m,1
lawde lagao sab,1
behen ke lund ka swag,1
bh3n k3 l nd sw,1
sala suar ka baccha,1
s p g k,1
harami log,1
h p,1
chut mein keede,1
ch t m3 n k33d3,1
bhadwe ka business,1
bh k dh,1
teri maa ki aankh,1
t3ri m k ch t,1
chodu bhag ja yaha se,1
ch0du bh s,1
lund choosne wali,1
l nd l3 l3 b3t,1
gaand faad dunga,1
g ph0d d00ng,1
kutte ki dum tedhi,1
kutt3 k p00ch,1
saale tharki,1
s r st,1
jhaant ka chashma,1
chut ka chakkar babu bhaiya,1
ch t k dh,1
bhosdi wale,1
randwa sala,1
r kutt,1
teri gaand mein mirchi,1
t3ri g m3 n l,1
maa chod diya,1
m ch0d d y,1
behen ka loda,1
bh3n k l0d,1
lund pakad ke nach,1
l nd dh0 k3 n,1
chutiya ban gaya,1
ch t y h0 g,1
madarchod game,1
madrch0d s3rv3r,1
bhai tu rockstar hai,0
mast hai tu yaar,0
keep it up bro,0
tu toh champ hai,0
bhai respect,0
love from delhi,0
tera style mast hai,0
party hard bro,0
tu mera bhai hai,0
good vibes only,0
teri maa randi hai sale,1
t3ri m r h s,1
bhosdike mar ja,1
bh0sd k3 m j,1
chutiya kahin ke,1
randi baazi band kar,1
r n b,1
gandu mat ban,1
g b b,1
lawde pe laat,1
l0d3 p3 k ck,1
behen ke laude,1
bh3n k3 l,1
sala harami,1
s h,1
chut marwa raha hai,1
ch t ph r,1
bhadwe ki party,1
bh k p,1
teri gaand phati padi hai,1
maa ka bhosda,1
m k bh0sd,1
behen ki chut mein aag,1
bh3n k ch t m3 n,1
lund topi pehen le,1
l nd k t0p,1
chutiye ka rona,1
ch t y3 k dr,1
madarchod exam,1
m p,1
teri behen ka bhosda,1
t3ri b3hn k bh0sd,1
chodu log,1
ch0du gr0up,1
gaand mara denge,1
g ph0d3ng3,1
kutte ki jhaant,1
saale bhadwe log,1
s th3k3d,1
jhantu ka saga,1
jhaant ka jhanda lehra,1
chut ka churan,1
ch t k p0wd3r,1
bhosdi ke tatt,1
bh0sd k3 n,1
randwe ka business,1
r k k,1
teri gaand faad di,1
t3ri g t00t gay,1
maa chodne ka shauk,1
m ch0dn3 k pl,1
behen ka yaar ban gaya,1
bh3n k l0v3r,1
lund khada ho gaya,1
l nd st ng,1
chutiya politics,1
ch t y n3t,1
madarchod media,1
madrch0d n3ws,1
bhai mast reel banaya,0
tu toh pro hai,0
bhai ek hug de de,0
good morning mere sher,0
tera din shubh ho,0
keep shining bro,0
tu mera idol hai,0
mast joke maara,0
love you 3000,0
respect from heart,0
teri maa ko salaam,0
bhai tu dil jeet leta hai,0
shabash veere,0
tu toppa hai,0
bhai tu no 1 hai,0
mast vibe hai aaj,0
party on bhai,0
tu mera real hero,0
good night king,0
tera jahaan safe rahe,0
bhen ke lode mat bol,1
bh3n k3 l0d3 b,1
chutiya mat ban yaar,1
ch t y b b,1
randi rona mat kar,1
r dr b,1
gandu log band karo,1
lawde lag rahe hain,1
l0d3 l r h,1
behen ke takke wale,1
bh3n k3 t,1
sale harami log,1
chut marwa li tune,1
ch t ph l,1
bhadwe ka adda,1
bh k j,1
teri gaand mein danda,1
t3ri g m3 n b,1
maa ka lafda,1
m k ch0d,1
behen ki laudi hai kya,1
bh3n k l,1
lund le madarchod,1
l nd l3 m,1
chutiye ka dimag nahi hai,1
ch t y3 k p,1
madarchod system hai,1
madrch0d r00l3z,1
teri behen ki izaat,1
t3ri b3hn k ch t,1
chodu company hai,1
ch0du c0rp0r,1
gaand phat ti hai teri,1
g j r,1
kutte ki aulaad,1
kutt3 k n,1
saale tharki insaan,1
s r st m nd,1
jhantu ka chashma pehna hai,1
jhaant ka spectacle,1
chut ka diwana ban gaya,1
ch t k q,1
bhosdi ke pel denge,1
bh0sd ph0d3ng3,1
randwe ke tatt,1
r k3 p ll3,1
teri gaand mein keeda,1
t3ri g m3 n k d,1
maa chud gayi teri,1
m t00t gay teri,1
behen ka bhadwa,1
bh3n k bh,1
lund choos le saale,1
l nd ch00s s,1
chutiya banata hai,1
madarchod cricket team,1
madrch0d pl,1
bhai tu sach mein best hai,0
tera talent alag level,0
keep killing it bro,0
tu mera proud hai,0
bhai tu inspiration,0
mast energy hai teri,0
good luck champ,0
tu toh goat hai,0
bhai hug de du,0
tera future bright hai,0
madarchod future,1
m dr3,1
chutiya dreams hai tere,1
ch t y h0p3s,1
bhen ke lode dreams,1
bh3n k3 l0d3 w,1
randi ambitions,1
r g0,1
gandu plans,1
g str,1
lawde lag gaye plans,1
l0d3 ph00t gay3,1
behen ke takke goals,1
sale harami dreams,1
s k n3 h0p3s,1
chut marwa raha future,1
bhadwe ke sapne,1
bh k3 dr3,1
teri gaand jalegi,1
maa ka sapna toot gaya,1
m k dr3 t00t,1
behen ki ijjat gayi,1
bh3n k ch t ph,1
lund le apne sapno ka,1
l nd p k3 dr3,1
chutiye ke sapne,1
ch t y3 k,1
madarchod ambitions,1
madrch0d c,1
teri behen ka career,1
chodu career,1
ch0du j0b,1
gaand mara career,1
g ph c,1
kutte ke sapne,1
kutt3 k h0p3s,1
saale tharki dreams,1
s r st dr3,1
jhantu ka future,1
jhaant ka career,1
chut ka business,1
ch t k st,1
bhosdi ka plan,1
bh0sd k3 g0,1
randwe ka startup,1
r k c0mp,1
teri gaand ka business,1
t3ri g k dh,1
maa chod di ambition,1
m ch0d t 0n,1
behen ka lund ambition,1
bh3n k3 l nd g0,1
lund topi career,1
l nd k t0p j0b,1
chutiya startup,1
ch t y c0mp,1
madarchod boss ka plan,1
bhai tu forever king,0
tu mera real bhai,0
tera smile mast hai,0
good vibes bhai,0
tu mera motivation,0
keep rocking veere,0
bhai tu dil se acha,0
tera nature best,0
love you mere yaar,0
tu mera sabse best,0
teri maa ko randi bana ke lal quile pe chodunga,1
tere baap ka lund kaat ke tere muh mein daal dunga,1
tere baap ka lund kaat ke uski jagah chut fit kar dunga,1
teri behen ko sadak pe nanga karke cycle rickshaw walon se chudwayenge,1
teri maa ke muh mein mera lund daal ke red fort ka jhanda bana dunga,1
tere baap ko hijra bana ke dance india dance mein bhej denge,1
teri ammi ko burqa utarwa ke haji ali ke bahar nachwayenge,1
teri maa ki chut mein diwali ke patakhe phod dunga,1
