text,label
"Thank you so much bhai",not offensive
"bhen ke lode",offensive
"bh3n k3 l0d3",offensive
"madarchod saale",offensive
"madrch0d harami",offensive
"bhenchod tu mar ja",offensive
"bc tera baap hu",offensive
"bhen ke takke",offensive
"chutiya mat ban",offensive
"chut!ye aadmi",offensive
"randi ka baccha",offensive
"r@ndi rona band kar",offensive
"teri maa ki chut",offensive
"t3ri m@ ki ch*t",offensive
"gandu insaan",offensive
"g@ndu kahi ka",offensive
"lawde lag gaye tere",offensive
"l0d3 pe thappad",offensive
"behen ke lund",offensive
"bh3n k3 lund",offensive
"sala kutta",offensive
"s@la suar ka baccha",offensive
"harami aadmi",offensive
"h@r@mi zad",offensive
"chut marike",offensive
"ch*t m@rik3",offensive
"bhosdike",offensive
"bhosdi ke",offensive
"bh0sd!k3",offensive
"teri behen ki chut",offensive
"t3ri b3hn ki ch*t",offensive
"maa chuda",offensive
"m@ chud@",offensive
"randwe ke aulad",offensive
"r@ndw3 k3 @ulad",offensive
"chodu bhag",offensive
"ch0du nahi toh kya",offensive
"lund le le",offensive
"l*nd choos",offensive
"gaand mara",offensive
"g@@nd fata",offensive
"kutte ki maut marega",offensive
"kutt3 ki dum",offensive
"saale suar",offensive
"s@@le haramkhor",offensive
"bakchodi mat kar",not offensive
"abe yaar chill kar",not offensive
"kya bol raha hai tu",not offensive
"bhai please samjha kar",not offensive
"good morning bro",not offensive
"love you yaar",not offensive
"teri jai ho",not offensive
"bhai mast kaam kiya",not offensive
"wah kya baat hai",not offensive
"shabash mere sher",not offensive
"teri maa ka bharosa",offensive
"t3ri m@ k@ bh@r0s@",offensive
"chutiya banaya mujhe",offensive
"ch*t!y@ b@n@y@",offensive
"bhen ke laude pe dance",offensive
"bh3n k3 l@ud3 p3",offensive
"madarchod company",offensive
"m@drch0d c0mp@ny",offensive
"lund khajoor",offensive
"l*nd topi",offensive
"gaand mein danda",offensive
"g@@nd m3in b@mboo",offensive
"bhosda tight hai kya",offensive
"bh0sd@ t!ght",offensive
"randi baaz",offensive
"r@ndi khana",offensive
"kutte ki tarah bhonk",offensive
"kutt3 ki p00ch",offensive
"saale napunsak",offensive
"s@@le jh@ntu",offensive
"jhantu insaan",offensive
"jhaant ke baal",offensive
"jh@@t k3 pissoo",offensive
"chut ka pujari",offensive
"ch*t k@ puj@ri",offensive
"bhadwa ban gaya",offensive
"bh@dw@ dalaal",offensive
"teri gaand jalti hai",offensive
"t3ri g@@nd j@lti",offensive
"maa ki kirkiri",offensive
"m@ ki aankh",offensive
"behen ki laudi",offensive
"bh3n ki l@udi",offensive
"lund pakad ke baith",offensive
"l*nd chaba ja",offensive
"chutiye ka dimag",offensive
"ch*t!y3 k@ d!m@g",offensive
"madarchod politics",offensive
"madrch0d neta",offensive
"bhai tera swag",not offensive
"mast hai re tu",not offensive
"yaar tu king hai",not offensive
"bhai ek selfie le le",not offensive
"good night bro",not offensive
"happy birthday bhai",not offensive
"teri jai ho veere",not offensive
"changa lagda tu",not offensive
"bhai tu top hai",not offensive
"love from india",not offensive
"teri behen chod di",offensive
"t3ri b3hn ch0d di",offensive
"madarchod system",offensive
"m@drch0d g0vt",offensive
"chut ka diwana",offensive
"ch*t k@ bhagat",offensive
"bhosdike aaja",offensive
"bh0sd!k3 p3l3ng3",offensive
"randi rona start",offensive
"r@ndi n@ch",offensive
"gandu log",offensive
"g@ndu party",offensive
"lawde pe tattoo",offensive
"l0d3 l@swag",offensive
"behen ke lund ka juice",offensive
