ID,Text,Label
1,You're awesome!,0
2,Tum jaise logon se baat nahi karte.,1
3,Thanks for your support yaar.,0
4,Teri aukaat kya hai samjhta hai?,1
5,"Nice effort, proud of you.",0
6,Bakwas band kar.,1
7,"Good job, well done!",0
8,Tum jaise logon se baat nahi karte.,1
9,Keep it up buddy!,0
10,Idiot kahi ka!,1
11,Bohot badiya presentation tha!,0
12,Itna irritating koi kaise ho sakta hai?,1
13,Kamaal kar diya bhai!,0
14,Tumhara face dekhne layak nahi hai.,1
15,"Always positive, love that!",0
16,Tumhara face dekhne layak nahi hai.,1
17,"Good job, well done!",0
18,Tujhe sharam nahi aati?,1
19,Tum bahut accha kaam karte ho.,0
20,"Bas kar nautanki, dimag kharab kar diya.",1
21,Thanks for your support yaar.,0
22,Teri aukaat kya hai samjhta hai?,1
23,"Good job, well done!",0
24,Bakwas band kar.,1
25,"Nice effort, proud of you.",0
26,Idiot kahi ka!,1
27,Bohot badiya presentation tha!,0
28,You're such a loser yaar.,1
29,Keep it up buddy!,0
30,Itna irritating koi kaise ho sakta hai?,1
31,"Always positive, love that!",0
32,Tujhe sharam nahi aati?,1
33,Bohot badiya presentation tha!,0
34,Tumhara face dekhne layak nahi hai.,1
35,Tum bahut accha kaam karte ho.,0
36,"Bas kar nautanki, dimag kharab kar diya.",1
37,"Nice effort, proud of you.",0
38,Tumhara face dekhne layak nahi hai.,1
39,You're awesome!,0
40,"Bas kar nautanki, dimag kharab kar diya.",1
41,"Good job, well done!",0
42,"Bas kar nautanki, dimag kharab kar diya.",1
43,Tum bahut accha kaam karte ho.,0
44,Tumhara face dekhne layak nahi hai.,1
45,Bohot badiya presentation tha!,0
46,Tum jaise logon se baat nahi karte.,1
47,Bohot badiya presentation tha!,0
48,Tum jaise logon se baat nahi karte.,1
49,"Always positive, love that!",0
50,Itna irritating koi kaise ho sakta hai?,1
51,Kamaal kar diya bhai!,0
52,Teri aukaat kya hai samjhta hai?,1
53,Tum bahut accha kaam karte ho.,0
54,Tu pagal ho gaya hai kya?,1
55,Tum bahut accha kaam karte ho.,0
56,Idiot kahi ka!,1
57,"Always positive, love that!",0
58,Tu pagal ho gaya hai kya?,1
59,Tum bahut accha kaam karte ho.,0
60,Tum jaise logon se baat nahi karte.,1
61,Keep it up buddy!,0
62,Itna irritating koi kaise ho sakta hai?,1
63,Bohot badiya presentation tha!,0
64,Tum jaise logon se baat nahi karte.,1
65,You're awesome!,0
66,Itna irritating koi kaise ho sakta hai?,1
67,Kamaal kar diya bhai!,0
68,Tujhe sharam nahi aati?,1
69,"Always positive, love that!",0
70,Teri aukaat kya hai samjhta hai?,1
71,"Good job, well done!",0
72,You're such a loser yaar.,1
73,Tum bahut accha kaam karte ho.,0
74,Tumhara face dekhne layak nahi hai.,1
75,"Nice effort, proud of you.",0
76,Tujhe sharam nahi aati?,1
77,"Always positive, love that!",0
78,Teri aukaat kya hai samjhta hai?,1
79,You're awesome!,0
80,Idiot kahi ka!,1
81,You're one of the kindest souls I know.,0
82,"Bas kar nautanki, dimag kharab kar diya.",1
83,"Nice effort, proud of you.",0
84,Tu pagal ho gaya hai kya?,1
85,Thanks for your support yaar.,0
86,Tu pagal ho gaya hai kya?,1
87,"Always positive, love that!",0
88,Bakwas band kar.,1
89,Keep it up buddy!,0
90,Tu pagal ho gaya hai kya?,1
91,Keep it up buddy!,0
92,Tum jaise logon se baat nahi karte.,1
93,Bohot badiya presentation tha!,0
94,"Bas kar nautanki, dimag kharab kar diya.",1
95,Kamaal kar diya bhai!,0
96,Teri aukaat kya hai samjhta hai?,1
97,"Always positive, love that!",0
98,Itna irritating koi kaise ho sakta hai?,1
99,Kamaal kar diya bhai!,0
100,Idiot kahi ka!,1
101,Bohot badiya presentation tha!,0
102,Tumhara face dekhne layak nahi hai.,1
103,"Good job, well done!",0
104,Tu pagal ho gaya hai kya?,1
105,Bohot badiya presentation tha!,0
106,Teri aukaat kya hai samjhta hai?,1
107,Kamaal kar diya bhai!,0
108,Tu pagal ho gaya hai kya?,1
109,Tum bahut accha kaam karte ho.,0
110,Tu pagal ho gaya hai kya?,1
111,Bohot badiya presentation tha!,0
112,Teri aukaat kya hai samjhta hai?,1
113,"Always positive, love that!",0
114,Tum jaise logon se baat nahi karte.,1
115,You're awesome!,0
116,Idiot kahi ka!,1
